   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 hashlib.py:100(__get_openssl_constructor)
        1    0.002    0.002    0.002    0.002 hashlib.py:56(<module>)
     6916    4.928    0.001  632.519    0.091 prototype excl calculation.py:108(generate_children)
        1    0.000    0.000    0.000    0.000 prototype excl calculation.py:32(country)
       33    0.000    0.000    0.000    0.000 prototype excl calculation.py:34(__init__)
       33    0.000    0.000    0.000    0.000 prototype excl calculation.py:44(add_adjacent_countries)
        1    4.361    4.361  636.908  636.908 prototype excl calculation.py:5(<module>)
     6916    0.194    0.000    0.209    0.000 prototype excl calculation.py:53(update_available_colours)
        1    0.000    0.000    0.000    0.000 prototype excl calculation.py:8(load_dict)
     6916    0.233    0.000    0.410    0.000 prototype excl calculation.py:93(next_child)
        1    0.000    0.000    0.003    0.003 random.py:100(seed)
    51950    0.083    0.000    0.100    0.000 random.py:273(choice)
        1    0.002    0.002    0.007    0.007 random.py:40(<module>)
        1    0.000    0.000    0.000    0.000 random.py:655(WichmannHill)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:805(SystemRandom)
        1    0.000    0.000    0.003    0.003 random.py:91(__init__)
        1    0.000    0.000    0.000    0.000 {_csv.reader}
        2    0.000    0.000    0.000    0.000 {_csv.register_dialect}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha512}
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
  6173508    2.463    0.000    2.463    0.000 {built-in method __new__ of type object at 0x1E229458}
        1    0.001    0.001    0.001    0.001 {function seed at 0x025E0370}
 12347022   10.745    0.000   10.745    0.000 {getattr}
        6    0.000    0.000    0.000    0.000 {globals}
  6173509    6.889    0.000    6.889    0.000 {hasattr}
206545161   17.503    0.000   17.503    0.000 {id}
 18520524    6.664    0.000    6.664    0.000 {isinstance}
  6173508    2.621    0.000    2.621    0.000 {issubclass}
 12440626    1.802    0.000    1.802    0.000 {len}
        1    0.000    0.000    0.000    0.000 {math.exp}
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 {math.sqrt}
  6173508   54.139    0.000   54.139    0.000 {method '__reduce_ex__' of 'object' objects}
 89407253   15.238    0.000   15.238    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
181830240   35.888    0.000   35.888    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dictproxy' objects}
  6173508    1.364    0.000    1.364    0.000 {method 'iteritems' of 'dict' objects}
    51959    0.049    0.000    0.049    0.000 {method 'keys' of 'dict' objects}
     6917    0.005    0.000    0.005    0.000 {method 'pop' of 'list' objects}
    51950    0.011    0.000    0.011    0.000 {method 'random' of '_random.Random' objects}
    20701    0.015    0.000    0.015    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
  6173508    6.694    0.000    6.694    0.000 {method 'update' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 {nt.urandom}
        1    0.000    0.000    0.000    0.000 {open}
  6173508   10.433    0.000   10.433    0.000 {range}
